filename,prompt
busy-1.png,"A frazzled woman small-business owner at a cluttered desk late at night, both hands gripping her hair, teeth clenched in exhausted frustration, glowing laptop, invoices and a calculator scattered everywhere — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
bank.png,"A wide-eyed man staring at his phone banking app in disbelief, mouth open, one hand on his cheek, dim home office, faint blue phone glow on his face — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
revenue-vanity.png,"A woman clutching a fan of paper invoices against her chest, panicked wide eyes, dim stockroom shelves behind her — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
profit-opinion.png,"An older business owner squinting skeptically over reading glasses at a long spreadsheet printout, one eyebrow raised, single desk lamp — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
pricing.png,"A contractor with a pencil behind his ear scratching his head, staring baffled at a blank estimate pad on a clipboard, work truck out of focus behind — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
taxes.png,"A man opening an official government letter, jaw dropped in horror, envelope trembling in his hand, cold sweat, dim kitchen table — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
subscriptions.png,"A woman pinching the bridge of her nose, overwhelmed, surrounded by floating faint app-card and receipt shapes, laptop glow — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
owner-pay.png,"A tired business owner handing cash and checks to a happy line of employees while his own wallet lies open and empty on the desk, forced tight smile — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
growth-trap.png,"An overwhelmed owner juggling too many folders and two ringing phones, loose papers flying around his head, more desks and a truck blurred behind — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
discount.png,"A shopkeeper wincing as he crosses out a price tag with a marker, a customer's hand already reaching for the product, reluctant pained expression — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
shoebox.png,"A defeated person tipping a shoebox of crumpled receipts onto a desk, an accountant across the table frowning, harsh overhead light — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
friday.png,"An owner staring into an empty cash drawer on payroll day, panic on his face, a wall calendar with Friday circled blurred behind — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
cant-see.png,"A person squinting into a thick dark ledger book with a tiny flashlight, confused and straining to read, deep shadows — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
margin.png,"A worried parent at a kitchen table surrounded by bills and a calculator, kids crayon drawings on the fridge behind, warm but anxious mood — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
forecast.png,"An owner crossing his fingers and squeezing his eyes shut over an open business plan and a coin on the desk, hopeful and nervous — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
late-invoices.png,"An exasperated owner on the phone holding up an overdue invoice, eyes rolled, other hand on forehead, dim office — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
breakeven.png,"A baffled person staring at an old balance scale with a few coins on each side, scratching their temple, moody spotlight — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
reinvest.png,"A contractor leaning on a shiny new work truck at dusk, staring worried into his open empty wallet, keys dangling — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
contractor-eulogy.png,"An angry contractor at a paperwork-covered desk gripping the sides of his head, blueprints and a calculator, harsh desk lamp, dark cluttered office — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
restaurant.png,"A stressed restaurant owner-chef standing in a busy dining room clutching a long receipt, forced smile, order tickets clipped everywhere, warm dim light — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
ecom.png,"An online seller surrounded by stacked shipping boxes staring in dismay at a laptop, packing tape gun in hand, garage workspace — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
salon.png,"A weary hairstylist in a busy salon rubbing her temples beside a fully-booked appointment book, chair and mirror behind, moody lighting — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
agency.png,"A creative-agency owner slumped with head in hands at a desk covered in design mockups, two glowing monitors, late-night studio — comic-book graphic-novel illustration, heavy black ink outlines, dramatic cinematic lighting, moody dark navy-and-teal color palette with a subtle lime-green rim light, expressive exaggerated facial expression, realistic cluttered props, vertical 4:5 portrait framing, the top third of the image noticeably darker and free of clutter for headline text, absolutely no text, letters, numbers or logos anywhere in the image."
